"filename", "language", "Docker", "TypeScript", "JavaScript", "JSON with Comments", "TypeScript JSX", "JSON", "CSS", "HTML", "Markdown", "YAML", "comment", "blank", "total"
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\tsconfig.json", "JSON with Comments", 0, 0, 0, -16, 0, 0, 0, 0, 0, 0, 0, -1, -17
"l:\Office\CLPM\clpm-app-latest\backend\ingestion\Dockerfile", "Docker", -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -8
"l:\Office\CLPM\clpm-app-latest\backend\ingestion\package.json", "JSON", 0, 0, 0, 0, 0, -16, 0, 0, 0, 0, 0, -1, -17
"l:\Office\CLPM\clpm-app-latest\backend\ingestion\src\config.js", "JavaScript", 0, 0, -6, 0, 0, 0, 0, 0, 0, 0, 0, -1, -7
"l:\Office\CLPM\clpm-app-latest\backend\ingestion\src\database.js", "JavaScript", 0, 0, -175, 0, 0, 0, 0, 0, 0, 0, -2, -23, -200
"l:\Office\CLPM\clpm-app-latest\backend\ingestion\src\index.js", "JavaScript", 0, 0, -122, 0, 0, 0, 0, 0, 0, 0, -14, -22, -158
"l:\Office\CLPM\clpm-app-latest\backend\ingestion\src\opc\uaClient.js", "JavaScript", 0, 0, -103, 0, 0, 0, 0, 0, 0, 0, -7, -18, -128
"l:\Office\CLPM\clpm-app-latest\backend\ingestion\src\rabbit.js", "JavaScript", 0, 0, -10, 0, 0, 0, 0, 0, 0, 0, 0, -2, -12
"l:\Office\CLPM\clpm-app-latest\backend\kpi-worker\Dockerfile", "Docker", -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -8
"l:\Office\CLPM\clpm-app-latest\backend\kpi-worker\package.json", "JSON", 0, 0, 0, 0, 0, -16, 0, 0, 0, 0, 0, -1, -17
"l:\Office\CLPM\clpm-app-latest\backend\kpi-worker\src\index.js", "JavaScript", 0, 0, -379, 0, 0, 0, 0, 0, 0, 0, -27, -85, -491
"l:\Office\CLPM\clpm-app-latest\backend\kpi-worker\src\rabbit.js", "JavaScript", 0, 0, -11, 0, 0, 0, 0, 0, 0, 0, -1, -4, -16
"l:\Office\CLPM\clpm-app-latest\backend\opcua-client\API.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, -361, 0, 0, -73, -434
"l:\Office\CLPM\clpm-app-latest\backend\opcua-client\Dockerfile", "Docker", -18, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, -12, -38
"l:\Office\CLPM\clpm-app-latest\backend\opcua-client\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -130, -14, -20, -164
"l:\Office\CLPM\clpm-app-latest\backend\opcua-client\mock-server.js", "JavaScript", 0, 0, -227, 0, 0, 0, 0, 0, 0, 0, -24, -42, -293
"l:\Office\CLPM\clpm-app-latest\backend\opcua-client\package.json", "JSON", 0, 0, 0, 0, 0, -69, 0, 0, 0, 0, 0, -1, -70
"l:\Office\CLPM\clpm-app-latest\backend\opcua-client\src\OPCUAClient.ts", "TypeScript", 0, -430, 0, 0, 0, 0, 0, 0, 0, 0, -118, -89, -637
"l:\Office\CLPM\clpm-app-latest\backend\opcua-client\src\api\compatibility.ts", "TypeScript", 0, -380, 0, 0, 0, 0, 0, 0, 0, 0, -35, -53, -468
"l:\Office\CLPM\clpm-app-latest\backend\opcua-client\src\api\routes.ts", "TypeScript", 0, -377, 0, 0, 0, 0, 0, 0, 0, 0, -13, -63, -453
"l:\Office\CLPM\clpm-app-latest\backend\opcua-client\src\api\server.ts", "TypeScript", 0, -303, 0, 0, 0, 0, 0, 0, 0, 0, -52, -40, -395
"l:\Office\CLPM\clpm-app-latest\backend\opcua-client\src\browser\TagBrowser.ts", "TypeScript", 0, -425, 0, 0, 0, 0, 0, 0, 0, 0, -54, -83, -562
"l:\Office\CLPM\clpm-app-latest\backend\opcua-client\src\config\ConfigManager.ts", "TypeScript", 0, -304, 0, 0, 0, 0, 0, 0, 0, 0, -76, -62, -442
"l:\Office\CLPM\clpm-app-latest\backend\opcua-client\src\core\ConnectionManager.ts", "TypeScript", 0, -565, 0, 0, 0, 0, 0, 0, 0, 0, -94, -125, -784
"l:\Office\CLPM\clpm-app-latest\backend\opcua-client\src\data\DataPublisher.ts", "TypeScript", 0, -389, 0, 0, 0, 0, 0, 0, 0, 0, -69, -81, -539
"l:\Office\CLPM\clpm-app-latest\backend\opcua-client\src\data\DataTransformer.ts", "TypeScript", 0, -292, 0, 0, 0, 0, 0, 0, 0, 0, -48, -57, -397
"l:\Office\CLPM\clpm-app-latest\backend\opcua-client\src\index.ts", "TypeScript", 0, -176, 0, 0, 0, 0, 0, 0, 0, 0, -31, -41, -248
"l:\Office\CLPM\clpm-app-latest\backend\opcua-client\src\monitoring\HealthMonitor.ts", "TypeScript", 0, -362, 0, 0, 0, 0, 0, 0, 0, 0, -74, -69, -505
"l:\Office\CLPM\clpm-app-latest\backend\opcua-client\src\monitoring\MetricsCollector.ts", "TypeScript", 0, -256, 0, 0, 0, 0, 0, 0, 0, 0, -90, -70, -416
"l:\Office\CLPM\clpm-app-latest\backend\opcua-client\src\monitoring\MetricsServer.ts", "TypeScript", 0, -285, 0, 0, 0, 0, 0, 0, 0, 0, -54, -50, -389
"l:\Office\CLPM\clpm-app-latest\backend\opcua-client\src\resilience\ResilienceManager.ts", "TypeScript", 0, -378, 0, 0, 0, 0, 0, 0, 0, 0, -90, -80, -548
"l:\Office\CLPM\clpm-app-latest\backend\opcua-client\src\security\CertificateManager.ts", "TypeScript", 0, -402, 0, 0, 0, 0, 0, 0, 0, 0, -76, -69, -547
"l:\Office\CLPM\clpm-app-latest\backend\opcua-client\src\types\index.ts", "TypeScript", 0, -227, 0, 0, 0, 0, 0, 0, 0, 0, -13, -26, -266
"l:\Office\CLPM\clpm-app-latest\backend\opcua-client\src\utils\validation.ts", "TypeScript", 0, -255, 0, 0, 0, 0, 0, 0, 0, 0, -38, -48, -341
"l:\Office\CLPM\clpm-app-latest\backend\opcua-client\tsconfig.json", "JSON with Comments", 0, 0, 0, -39, 0, 0, 0, 0, 0, 0, 0, 0, -39
"l:\Office\CLPM\clpm-app-latest\frontend\Dockerfile", "Docker", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 16
"l:\Office\CLPM\clpm-app-latest\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"l:\Office\CLPM\clpm-app-latest\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 1, 46
"l:\Office\CLPM\clpm-app-latest\frontend\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"l:\Office\CLPM\clpm-app-latest\frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 6, 11, 120
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\AppShell.tsx", "TypeScript JSX", 0, 0, 0, 0, 251, 0, 0, 0, 0, 0, 2, 17, 270
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\LoopConfiguration.tsx", "TypeScript JSX", 0, 0, 0, 0, 861, 0, 0, 0, 0, 0, 16, 80, 957
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\opcua\HealthDashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 297, 0, 0, 0, 0, 0, 8, 20, 325
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\opcua\ServerForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 411, 0, 0, 0, 0, 0, 5, 43, 459
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\opcua\ServerManager.tsx", "TypeScript JSX", 0, 0, 0, 0, 277, 0, 0, 0, 0, 0, 10, 16, 303
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\opcua\TagBrowser.tsx", "TypeScript JSX", 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 9, 31, 383
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 4, 29
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 4, 41
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 6, 55
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 4, 11, 100
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 5, 44
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 6, 67
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 16, 113
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 6, 53
"l:\Office\CLPM\clpm-app-latest\frontend\src\contexts\AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 131, 0, 0, 0, 0, 0, 8, 19, 158
"l:\Office\CLPM\clpm-app-latest\frontend\src\hooks\useOPCUA.ts", "TypeScript", 0, 350, 0, 0, 0, 0, 0, 0, 0, 0, 13, 44, 407
"l:\Office\CLPM\clpm-app-latest\frontend\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 4, 60
"l:\Office\CLPM\clpm-app-latest\frontend\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"l:\Office\CLPM\clpm-app-latest\frontend\src\pages\APCAttainment.tsx", "TypeScript JSX", 0, 0, 0, 0, 302, 0, 0, 0, 0, 0, 6, 22, 330
"l:\Office\CLPM\clpm-app-latest\frontend\src\pages\Dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 746, 0, 0, 0, 0, 0, 16, 40, 802
"l:\Office\CLPM\clpm-app-latest\frontend\src\pages\LoginPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 8, 146
"l:\Office\CLPM\clpm-app-latest\frontend\src\pages\LoopConfig.tsx", "TypeScript JSX", 0, 0, 0, 0, 377, 0, 0, 0, 0, 0, 7, 36, 420
