"filename", "language", "Docker", "JavaScript", "JSON", "JSON with Comments", "TypeScript", "TypeScript JSX", "CSS", "HTML", "comment", "blank", "total"
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\tsconfig.json", "JSON with Comments", 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 17
"l:\Office\CLPM\clpm-app-latest\backend\kpi-worker\Dockerfile", "Docker", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"l:\Office\CLPM\clpm-app-latest\backend\kpi-worker\package.json", "JSON", 0, 0, 26, 0, 0, 0, 0, 0, 0, 1, 27
"l:\Office\CLPM\clpm-app-latest\backend\kpi-worker\src\index.js", "JavaScript", 0, 382, 0, 0, 0, 0, 0, 0, 29, 86, 497
"l:\Office\CLPM\clpm-app-latest\backend\kpi-worker\src\influxClient.js", "JavaScript", 0, 130, 0, 0, 0, 0, 0, 0, 0, 19, 149
"l:\Office\CLPM\clpm-app-latest\frontend\Dockerfile", "Docker", -13, 0, 0, 0, 0, 0, 0, 0, -1, -2, -16
"l:\Office\CLPM\clpm-app-latest\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, -12, 0, -1, -13
"l:\Office\CLPM\clpm-app-latest\frontend\package.json", "JSON", 0, 0, -45, 0, 0, 0, 0, 0, 0, -1, -46
"l:\Office\CLPM\clpm-app-latest\frontend\postcss.config.js", "JavaScript", 0, -6, 0, 0, 0, 0, 0, 0, 0, -1, -7
"l:\Office\CLPM\clpm-app-latest\frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -103, 0, 0, -6, -11, -120
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\AppShell.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -251, 0, 0, -2, -17, -270
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\LoopConfiguration.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -861, 0, 0, -16, -80, -957
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\opcua\HealthDashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -297, 0, 0, -8, -20, -325
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\opcua\ServerForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -411, 0, 0, -5, -43, -459
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\opcua\ServerManager.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -277, 0, 0, -10, -16, -303
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\opcua\TagBrowser.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -343, 0, 0, -9, -31, -383
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -25, 0, 0, 0, -4, -29
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -37, 0, 0, 0, -4, -41
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -49, 0, 0, 0, -6, -55
